Date,lwe_thickness_mean_mm,lwe_thickness_sum_mm
2002-04-01,127.29307134461682,46244.3248482116
2002-05-01,-75.22898501457594,-27329.952716726668
2002-07-01,1706.3472508520244,619899.2273399242
2002-08-01,2368.6253141764178,860498.3548234868
2002-09-01,1809.6649575324595,657433.5372582333
2002-10-01,1069.7988098899823,388647.41940940416
2002-11-01,475.6043411076879,172782.39433676508
2002-12-01,263.9391473291199,95886.50458596996
2003-01-01,177.05480613201573,64322.27523632864
2003-02-01,-69.21959426186785,-25146.79997186343
2003-03-01,-457.4639453584598,-166192.16640808765
2003-04-01,-763.664805480116,-277431.93692106847
2003-06-01,1059.8006748938274,385015.1949862325
2003-07-01,2362.392340553672,858233.9766139279
2003-08-01,3493.3793050001755,1269110.452689848
2003-09-01,2829.407118280876,1027895.8667859688
2003-10-01,1830.2963870303429,664928.7333258977
2003-11-01,1328.1992289438374,482521.758314228
2003-12-01,1117.605058989292,406014.96101846674
2004-02-01,399.1205738359799,144996.59152780916
2004-03-01,-291.5513763204254,-105917.75667038384
2004-04-01,-646.7423910458003,-234955.1700552624
2004-05-01,-263.1943159764049,-95615.91465779672
2004-06-01,935.8601592437308,339988.8207536469
2004-07-01,2061.429609031953,748897.1668671023
2004-08-01,2135.700277027942,775878.9724062411
2004-09-01,1789.8511093043817,650235.3604503865
2004-10-01,1104.6996374799974,401326.5479078802
2004-11-01,586.2905002044982,212993.5907782137
2004-12-01,188.7257620980944,68562.2191176681
2005-01-01,179.09380909400932,65063.0250221958
2005-02-01,-146.20907823297753,-53116.32469970512
2005-03-01,-671.2826981810988,-243870.42304626983
2005-04-01,-915.0632376956228,-332433.50304660696
2005-05-01,-1234.3574119397106,-448429.9462144425
2005-06-01,804.6489494600206,292321.0746236347
2005-07-01,1848.383980830464,671499.7788241308
2005-08-01,2061.9414911033296,749083.1286051817
2005-09-01,1636.023306015027,594351.2276310826
2005-10-01,853.9642100174166,310236.82530119
2005-11-01,140.2034897994202,50934.55330011172
2005-12-01,-128.99896982067588,-46864.06104006898
2006-01-01,-502.8175695526901,-182668.69343447709
2006-02-01,-733.5413337541315,-266488.3749711725
2006-03-01,-1192.269726192481,-433139.902606844
2006-04-01,-1394.3121672101386,-506539.94062031375
2006-05-01,-1050.532397311311,-381648.1206059707
2006-06-01,90.32478224672892,32814.107853155765
2006-07-01,1403.9134182911766,510027.9810081424
2006-08-01,1757.1383691414508,638351.1426623327
2006-09-01,935.5140354345256,339863.0773671334
2006-10-01,249.8875086850276,90781.6820277344
2006-11-01,-218.8626499206631,-79510.65500392277
2006-12-01,-710.2038401321058,-258010.0923372476
2007-01-01,-720.5428843413372,-261766.16573528288
2007-02-01,-624.3082173775553,-226805.054704468
2007-03-01,-1171.092477272436,-425446.41569427913
2007-04-01,-1418.3967615477843,-515289.6376197067
2007-05-01,-1283.817272879441,-466398.2287932491
2007-06-01,-24.740445287438856,-8987.961219541365
2007-07-01,1467.0661313229707,532970.7425083477
2007-08-01,1627.4541287914765,591238.129557308
2007-09-01,1015.0943271200872,368773.8171375598
2007-10-01,98.46238721922224,35770.41995922168
2007-11-01,-426.55336087153376,-154962.65410893338
2007-12-01,-681.6074343982832,-247621.2984910688
2008-01-01,-1048.6312514256194,-380957.4529443841
2008-02-01,-1402.5829650223568,-509544.6403792396
2008-03-01,-1866.628158764948,-678127.7098032393
2008-04-01,-2119.073652784325,-769838.6828246552
2008-05-01,-1275.535695991903,-463389.6131019368
2008-06-01,1084.3337585178745,393927.823746421
2008-07-01,2224.8352058788028,808260.8181859073
2008-08-01,1991.97809096886,723666.1112520165
2008-09-01,1322.2069767107148,480344.8318255055
2008-10-01,501.83113517888825,182310.3314974001
2008-11-01,-125.44116739697948,-45571.546299956
2008-12-01,-438.37107929382256,-159255.91535176637
2009-01-01,-838.2979837733985,-304545.4388971916
2009-02-01,-1264.1296048651775,-459245.8920200202
2009-03-01,-1637.9547267064231,-595052.89383277
2009-04-01,-1895.8177251371712,-688731.9930940486
2009-05-01,-2092.1625924127534,-760062.1584255884
2009-06-01,-1325.8408740348118,-481664.9910969056
2009-07-01,251.96375583397952,91535.9622615844
2009-08-01,665.9989779757473,241950.8992968441
2009-09-01,154.4022724440956,56092.83183117086
2009-10-01,-447.81863050924,-162688.1180852764
2009-11-01,-855.7836337521644,-310897.80410653626
