Date,Year,Month,TWS,n_cells
2002-04-01,2002,April,10.319195168799622,433
2002-05-01,2002,May,-9.898084850514651,433
2002-07-01,2002,July,170.038728224334,433
2002-08-01,2002,August,236.18113672468294,433
2002-09-01,2002,September,180.07535967794126,433
2002-10-01,2002,October,105.97056147646391,433
2002-11-01,2002,November,46.64032176467086,433
2002-12-01,2002,December,25.169013370101453,433
2003-01-01,2003,January,16.109299353076054,433
2003-02-01,2003,February,-9.077731199155034,433
2003-03-01,2003,March,-47.860169312493696,433
2003-04-01,2003,April,-78.51175321110964,433
2003-06-01,2003,June,105.05580926213668,433
2003-07-01,2003,July,235.33166470832228,433
2003-08-01,2003,August,348.9133555230716,433
2003-09-01,2003,September,282.8029132465406,433
2003-10-01,2003,October,182.76256562116015,433
2003-11-01,2003,November,132.18436032247712,433
2003-12-01,2003,December,111.04269994472268,433
2004-02-01,2004,February,38.64588636642904,433
2004-03-01,2004,March,-30.3552311532534,433
2004-04-01,2004,April,-65.80867592387536,433
2004-05-01,2004,May,-27.08778050617296,433
2004-06-01,2004,June,93.40754059879418,433
2004-07-01,2004,July,206.38311371547445,433
2004-08-01,2004,August,214.02218165235442,433
2004-09-01,2004,September,179.39890333988723,433
2004-10-01,2004,October,110.34445088838136,433
2004-11-01,2004,November,58.43117051644303,433
2004-12-01,2004,December,18.18657301405721,433
2005-01-01,2005,January,16.719267851777726,433
2005-02-01,2005,February,-16.16491310825231,433
2005-03-01,2005,March,-68.61245940745488,433
2005-04-01,2005,April,-92.92413929850923,433
2005-05-01,2005,May,-124.55962602386975,433
2005-06-01,2005,June,80.32941498448942,433
2005-07-01,2005,July,185.01791877731534,433
2005-08-01,2005,August,206.45765515846256,433
2005-09-01,2005,September,163.65736383845478,433
2005-10-01,2005,October,85.3270525014011,433
2005-11-01,2005,November,13.998701591772985,433
2005-12-01,2005,December,-13.373430697872367,433
2006-01-01,2006,January,-50.95362132345466,433
2006-02-01,2006,February,-74.32632986209705,433
2006-03-01,2006,March,-120.30871519559908,433
2006-04-01,2006,April,-140.5014782900965,433
2006-05-01,2006,May,-105.32863753024928,433
2006-06-01,2006,June,9.05437660933151,433
2006-07-01,2006,July,141.0208044067918,433
2006-08-01,2006,August,176.69777888852425,433
2006-09-01,2006,September,94.72401117767731,433
2006-10-01,2006,October,25.77639894484044,433
2006-11-01,2006,November,-21.432321909425724,433
2006-12-01,2006,December,-70.63162280856251,433
2007-01-01,2007,January,-72.12486859678263,433
2007-02-01,2007,February,-63.089795259421074,433
2007-03-01,2007,March,-117.73432906206301,433
2007-04-01,2007,April,-142.4140217883209,433
2007-05-01,2007,May,-128.53517714284558,433
2007-06-01,2007,June,-1.5042016226455912,433
2007-07-01,2007,July,148.04361825871027,433
2007-08-01,2007,August,164.14325452887402,433
2007-09-01,2007,September,102.63621176055348,433
2007-10-01,2007,October,10.811465010573158,433
2007-11-01,2007,November,-41.83470217355155,433
2007-12-01,2007,December,-67.6477162930738,433
2008-01-01,2008,January,-104.5768229600314,433
2008-02-01,2008,February,-140.10202864827602,433
2008-03-01,2008,March,-186.6637396765561,433
2008-04-01,2008,April,-212.08857597345778,433
2008-05-01,2008,May,-127.44647719721922,433
2008-06-01,2008,June,109.12691778585832,433
2008-07-01,2008,July,223.0661637389492,433
2008-08-01,2008,August,199.7307972244526,433
2008-09-01,2008,September,132.57609910626215,433
2008-10-01,2008,October,50.29092699820212,433
2008-11-01,2008,November,-12.520059946417533,433
2008-12-01,2008,December,-43.77662760891072,433
2009-01-01,2009,January,-84.12442767088095,433
2009-02-01,2009,February,-126.84963530721787,433
2009-03-01,2009,March,-164.3457919885575,433
2009-04-01,2009,April,-189.97827683911942,433
2009-05-01,2009,May,-209.14743099005764,433
2009-06-01,2009,June,-131.701074591765,433
2009-07-01,2009,July,26.33498596489649,433
2009-08-01,2009,August,67.96899370824394,433
2009-09-01,2009,September,16.792102407824096,433
2009-10-01,2009,October,-43.63458168471379,433
2009-11-01,2009,November,-84.60134454524517,433
2009-12-01,2009,December,-114.83886362169335,433
2010-01-01,2010,January,-145.5076638662343,433
2010-02-01,2010,February,-202.2911969571654,433
2010-03-01,2010,March,-249.29611636418178,433
2010-04-01,2010,April,-277.65291087462236,433
2010-05-01,2010,May,-265.1004815438733,433
2010-06-01,2010,June,-150.95063941542278,433
2010-07-01,2010,July,3.299122993589069,433
2010-08-01,2010,August,106.35648720131806,433
2010-09-01,2010,September,39.24600656191361,433
2010-10-01,2010,October,-35.49486953233054,433
2010-11-01,2010,November,-79.56845155733858,433
2011-02-01,2011,February,-153.51805168637915,433
2011-03-01,2011,March,-231.51133326152106,433
2011-04-01,2011,April,-244.47976195851663,433
2011-07-01,2011,July,75.43052378932362,433
2011-08-01,2011,August,206.79948262228424,433
2011-09-01,2011,September,115.79197545559833,433
2011-10-01,2011,October,62.619169955492254,433
2011-12-01,2011,December,-40.416027920811565,433
2012-01-01,2012,January,-82.79873916598808,433
2012-02-01,2012,February,-135.4147692407467,433
2012-03-01,2012,March,-159.73745368107973,433
2012-05-01,2012,May,-269.5787983232761,433
2012-06-01,2012,June,-133.53221951991895,433
2012-07-01,2012,July,50.095817637452555,433
2012-08-01,2012,August,144.06611736557232,433
2012-11-01,2012,November,-71.79812252050355,433
2012-12-01,2012,December,-116.9049391940943,433
2013-01-01,2013,January,-121.34484869442052,433
2013-04-01,2013,April,-218.13508079179218,433
2013-05-01,2013,May,-184.44319546204488,433
2013-06-01,2013,June,30.49390342525974,433
2013-09-01,2013,September,112.26286237283176,433
2013-10-01,2013,October,37.73282310281126,433
2013-11-01,2013,November,-17.65059824714958,433
2013-12-01,2013,December,-45.847961834288064,433
2014-02-01,2014,February,-67.45923235101823,433
2014-03-01,2014,March,-134.74863327200498,433
2014-04-01,2014,April,-172.81769662969467,433
2014-05-01,2014,May,-192.86751468696488,433
2014-07-01,2014,July,55.371298974571026,433
2014-08-01,2014,August,70.89593933446699,433
2014-09-01,2014,September,19.432718468691508,433
2014-10-01,2014,October,-61.36678830499071,433
2015-01-01,2015,January,-164.85895578911385,433
2015-02-01,2015,February,-145.8942125845613,433
2015-03-01,2015,March,-188.27609615116504,433
2015-04-01,2015,April,-187.83541450569624,433
2015-06-01,2015,June,-69.11787664179849,433
2015-07-01,2015,July,47.427197998724886,433
2015-08-01,2015,August,17.380388252582204,433
2015-12-01,2015,December,-220.3539234896212,433
2016-01-01,2016,January,-266.6799576531547,433
2016-02-01,2016,February,-302.6360823785627,433
2016-05-01,2016,May,-372.0397050048812,433
2016-06-01,2016,June,-171.73402729053538,433
2016-08-01,2016,August,31.915798296730294,433
2016-11-01,2016,November,-114.54622964621214,433
2016-12-01,2016,December,-198.16182511805332,433
2017-01-01,2017,January,-189.27053408127358,433
2017-03-01,2017,March,-330.949937864873,433
2017-04-01,2017,April,-344.6699573297382,433
2017-05-01,2017,May,-363.65185987058004,433
2018-05-01,2018,May,-409.0346318568669,433
2018-06-01,2018,June,-327.6010655862508,433
2018-10-01,2018,October,-181.2190406817183,433
2018-11-01,2018,November,-253.51677573232456,433
2018-12-01,2018,December,-281.882131703402,433
2019-01-01,2019,January,-273.4528197229857,433
2019-02-01,2019,February,-300.61345320241935,433
2019-03-01,2019,March,-362.7729070584801,433
2019-04-01,2019,April,-389.9699331535393,433
2019-05-01,2019,May,-419.91464481691116,433
2019-06-01,2019,June,-260.3514966498087,433
2019-07-01,2019,July,-105.39107910981818,433
2019-08-01,2019,August,-31.533877797298782,433
2019-09-01,2019,September,-42.759841623475296,433
2019-10-01,2019,October,-138.06786289737354,433
2019-11-01,2019,November,-173.41759237332795,433
