depth,rmse,n,rmse_raw,regime
1,68.58729742144374,2202.0,68.58729742144374,interior
2,82.23270175329624,2202.0,82.23270175329624,interior
3,82.23270175329624,2202.0,79.6568583402181,interior
4,82.23270175329624,2202.0,75.57667099039685,interior
5,82.23270175329624,2202.0,74.15046261395779,interior
6,82.23270175329624,2202.0,81.09483362487504,interior
7,82.23270175329624,2202.0,78.80192728691965,interior
8,82.23270175329624,2202.0,79.3437663277073,interior
9,82.23270175329624,2202.0,66.17274990174165,interior
10,82.23270175329624,2202.0,78.80537388072028,interior
11,82.23270175329624,2202.0,70.72029405429664,interior
1,73.21370364378464,367.0,73.21370364378464,forward
2,73.21370364378464,367.0,67.70470210234674,forward
3,81.31938888499451,367.0,81.31938888499451,forward
4,81.31938888499451,367.0,64.25014778893059,forward
5,81.31938888499451,367.0,59.06459450752361,forward
6,81.31938888499451,367.0,76.05618554368276,forward
7,81.31938888499451,367.0,51.669432357555145,forward
8,81.31938888499451,367.0,59.1713931916029,forward
9,95.3228650114702,367.0,95.3228650114702,forward
10,106.82916887559865,367.0,106.82916887559865,forward
11,107.82792349039195,367.0,107.82792349039195,forward
1,56.7707730135239,367.0,56.7707730135239,backward
2,56.7707730135239,367.0,50.09764690346655,backward
3,56.7707730135239,367.0,42.26375341651458,backward
4,56.7707730135239,367.0,34.33484802909582,backward
5,59.790378412936874,367.0,59.790378412936874,backward
6,59.790378412936874,367.0,42.372298442996374,backward
7,59.790378412936874,367.0,48.41395846455814,backward
8,59.790378412936874,367.0,53.21190890954037,backward
10,89.41157690913661,367.0,89.41157690913661,backward
11,98.95945969349994,367.0,98.95945969349994,backward
