scheme,repeat,n_test_months,MAE,RMSE,R2,NSE,PBIAS,n,MAE_leaky,RMSE_leaky,R2_leaky,NSE_leaky,PBIAS_leaky,n_leaky
random,0,45,55.61688262633806,72.22931965483609,0.7470382876308107,0.7439484239396066,-18.3224335645426,16515,55.4202121861085,72.04053746480011,0.7470621272535847,0.7437746924368037,-25.21781342922509,16515
random,1,45,54.67496200293712,69.89558379326195,0.7069273580197277,0.7061820303292323,-3.558059030227429,16515,54.509776072816,69.50353406986073,0.7078238312633026,0.706612850248081,-5.622391417420425,16515
random,2,45,59.506016689257685,76.11066512795468,0.7486541174784046,0.745424611933359,-32.94441952218324,16515,59.27850004238316,75.80731994205978,0.7483467247509216,0.7454880003130879,-39.127195048705296,16515
random,3,45,59.05674909410901,75.22507435694844,0.6680620428148892,0.6623010903594425,-64.548450472257,16515,57.696189704751696,73.61783189381583,0.675153555902909,0.67023412714238,-80.0625138034379,16515
random,4,45,62.3223295985704,79.2488653545871,0.693671195055826,0.6912548728586828,-22.314967764408202,16515,61.81574004728635,78.7899702733736,0.6935894610345494,0.6904609091799087,-34.70231258102082,16515
blocked,0,11,59.414124343535605,78.77184100276416,0.8381523425558819,0.7923197495939799,-275.8180809661913,4037,57.05971193236386,74.87560675621818,0.8495917758337527,0.8071501213619441,-328.6521608795589,4037
blocked,1,11,49.78572059678398,63.46665265635841,0.7931290840201516,0.659441194813943,-52.03234544471348,4037,49.55237634465433,63.041014196803296,0.7942594225265542,0.6613320410566113,-53.8074111709465,4037
blocked,2,11,43.80442347682124,58.39171543902762,0.8047694702798925,0.7876516281107548,-192.1719228416585,4037,42.723778956120796,57.01222842921363,0.8104709032118262,0.7943213094654863,-209.21146829909625,4037
blocked,3,11,63.9258043420503,82.29453734804733,0.6486086579522783,0.6415905366601736,-37.02033325887615,4037,62.428448917471904,80.66283804554885,0.6559848742967924,0.6516412207914322,-31.494053288474614,4037
blocked,4,11,60.73391891557585,75.7938306864591,0.7893290847003552,0.7258483781875991,-3242.037238942587,4037,59.960006132532435,75.10113204570129,0.7914932416008892,0.7280775489812591,-3273.801758261274,4037
forward,0,45,73.0160487415638,91.0865335557471,0.7301823834076648,0.6580223507863214,-102.17325188693535,16515,60.6019058686376,77.23301612976691,0.7643017727799633,0.7432540553348361,-134.82753725571445,16515
