family,mean_abs_shap_mm,share_pct,share_ci_lo_pct,share_ci_hi_pct,n_columns,sum_of_column_mean_abs_mm,internal_cancellation_pct,max_within_family_abs_r,split_half_max_disagreement_pct,grouping,model,target,units,n_rows_explained,n_rows_observed,sampled,n_mascons,n_features,predictors,base_value_mm,scope,caveat
Soil moisture,44.86729018936679,31.68835438452611,30.723295481927625,32.71684732975197,11,56.13511203938324,20.072680788650022,0.9856170758821672,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
Precipitation,25.644343544644368,18.111792416512188,17.19885271546914,18.944475461325624,15,49.1613672148886,47.836390650913515,0.9978306920955158,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
Seasonal harmonics,20.215241866761616,14.277388840270673,13.6071962549845,14.817967338075599,4,25.954326087043235,22.112245184230193,0.029973951157268447,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
Surface runoff anomaly,19.970609794297147,14.104612909891166,13.376563000051878,14.88126979497055,9,29.7457511832773,32.862311423070125,0.9579196637305851,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
Evapotranspiration,11.64746455135122,8.226237484515929,7.398034997733883,9.210167692380518,15,23.406211462051175,50.23771971711262,0.9982799951020462,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
Surface runoff,6.943570055819629,4.904024907542592,4.4195356241547366,5.372426128247262,11,12.139320761419075,42.80100021833567,0.9775932962290277,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
Water balance (P minus ET minus Q),4.872960390246322,3.441618495259149,3.120655008850869,3.702072438980824,4,8.489872908658603,42.60266976109247,0.9960702540270816,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
Terrain,2.907835515080153,2.0537126691820684,1.8163120007497702,2.4307664335010695,2,3.1674258071639594,8.195623445912293,0.8314798399544292,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
Cropland fraction,1.7623722112997449,1.2447080033895714,1.0449283209351834,1.4783569014299813,2,1.946176657374266,9.444386529766813,0.26309335963841285,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
Drainage position,1.0109268133330886,0.7139857785596899,0.628117583124943,0.818698398935156,2,1.1488276479589843,12.00361384676729,0.34799896114146867,0.09899868247417842,source_field,xgboost,mascon_anomaly,mm,83309,83309,False,19,78,"sms,et,ppt,runoff_surface,runoff_anom",0.014446323737502098,"Attribution is for the mascon-scale TWSA ANOMALY only. Level and trend are taken from GRACE per mascon and never enter the model, so nothing here bears on the depletion trend or on total storage.","TreeSHAP splits credit between correlated columns by how the trees were built, not by any property of the data. Antecedent windows in this matrix correlate up to 0.98, so the ordering of families separated by a few percent is not identifiable."
