model,mascon,calendar_month,rmse,n
random_forest,3,1,18.06971358876747,342
random_forest,3,2,17.14318646745149,361
random_forest,3,3,17.284628826103233,361
random_forest,3,4,17.899473615929573,380
random_forest,3,5,16.9772255715599,380
random_forest,3,6,29.11334139990524,361
random_forest,3,7,36.35171724591021,361
random_forest,3,8,40.06394385819118,380
random_forest,3,9,42.69238501720518,342
random_forest,3,10,34.41964606308712,342
random_forest,3,11,30.048925352748522,342
random_forest,3,12,22.75744318077184,361
random_forest,4,1,4.659877835078807,36
random_forest,4,2,11.356083129977902,38
random_forest,4,3,10.806492576405327,38
random_forest,4,4,8.669397995353288,40
random_forest,4,5,11.640741990830211,40
random_forest,4,6,14.13834263639401,38
random_forest,4,7,25.357861992380585,38
random_forest,4,8,32.17238835113808,40
random_forest,4,9,38.473560437215404,36
random_forest,4,10,20.994908126880322,36
random_forest,4,11,5.566356873133833,36
random_forest,4,12,7.427260988158035,38
random_forest,6,1,11.760805328821402,108
random_forest,6,2,9.035974087129707,114
random_forest,6,3,8.968036730328098,114
random_forest,6,4,17.728096511043173,120
random_forest,6,5,29.409292824221875,120
random_forest,6,6,19.532919633425244,114
random_forest,6,7,9.676337540530533,114
random_forest,6,8,10.703745579527583,120
random_forest,6,9,9.84347316558538,108
random_forest,6,10,9.059015520267053,108
random_forest,6,11,8.662730329903564,108
random_forest,6,12,11.263301845704124,114
random_forest,7,1,10.706134353912434,144
random_forest,7,2,12.4507314311365,152
random_forest,7,3,12.61942675211408,152
random_forest,7,4,15.76902048028362,160
random_forest,7,5,20.380434372887283,160
random_forest,7,6,13.08199958810094,152
random_forest,7,7,9.930452859199926,152
random_forest,7,8,9.488916701518837,160
random_forest,7,9,12.335336785548597,144
random_forest,7,10,15.17401946418283,144
random_forest,7,11,12.09157197157907,144
random_forest,7,12,14.407988655334485,152
random_forest,8,1,13.01436467622696,504
random_forest,8,2,15.778936882206173,532
random_forest,8,3,19.428052355212014,532
random_forest,8,4,19.68960266640045,560
random_forest,8,5,18.217403332451955,560
random_forest,8,6,20.89002995081948,532
random_forest,8,7,18.13427923421525,532
random_forest,8,8,22.57143588900666,560
random_forest,8,9,17.69574617408411,504
random_forest,8,10,16.280961452051226,504
random_forest,8,11,18.821605336424593,504
random_forest,8,12,16.347517485648172,532
random_forest,10,1,31.85626721563871,216
random_forest,10,2,35.208997285982214,228
random_forest,10,3,21.28225188335216,228
random_forest,10,4,16.753724634229677,240
random_forest,10,5,40.14032248069751,240
random_forest,10,6,36.42971717305698,228
random_forest,10,7,20.730828189897505,228
random_forest,10,8,16.728666450842272,240
random_forest,10,9,20.16650727937836,216
random_forest,10,10,14.842588114675515,216
random_forest,10,11,23.78964123659765,216
random_forest,10,12,26.44942268717199,228
random_forest,11,1,18.554927282696728,486
random_forest,11,2,20.52529234193988,513
random_forest,11,3,22.235851801743628,513
random_forest,11,4,22.169979780289417,540
random_forest,11,5,16.418147356044457,540
random_forest,11,6,25.612746327994103,513
random_forest,11,7,29.699744057229562,513
random_forest,11,8,31.086667173332525,540
random_forest,11,9,26.106476476524936,486
random_forest,11,10,22.65944038302689,486
random_forest,11,11,22.379226969186703,486
random_forest,11,12,24.46731135632607,513
random_forest,13,1,21.073029892597322,612
random_forest,13,2,28.96477486095668,646
random_forest,13,3,36.13563529357163,646
random_forest,13,4,37.849744240486494,680
random_forest,13,5,38.23063075438333,680
random_forest,13,6,27.28814530248755,646
random_forest,13,7,29.029410675273507,646
random_forest,13,8,26.559154907651653,680
random_forest,13,9,32.40671981460559,612
random_forest,13,10,24.484206128869616,612
random_forest,13,11,20.335075283073913,612
random_forest,13,12,21.949308486727197,646
random_forest,17,1,22.970836356512766,126
random_forest,17,2,24.283324788529054,133
random_forest,17,3,22.997605682855454,133
random_forest,17,4,23.076721833097153,140
random_forest,17,5,26.30203591149742,140
random_forest,17,6,23.496486757704986,133
random_forest,17,7,20.40852869528894,133
random_forest,17,8,13.69894128471666,140
random_forest,17,9,14.851069026741808,126
random_forest,17,10,15.496181077239639,126
random_forest,17,11,16.5457303453206,126
random_forest,17,12,22.280086169172343,133
random_forest,18,1,0.0,18
random_forest,18,2,0.0,19
random_forest,18,3,0.0,19
random_forest,18,4,0.0,20
random_forest,18,5,0.0,20
random_forest,18,6,0.0,19
random_forest,18,7,0.0,19
random_forest,18,8,0.0,20
random_forest,18,9,0.0,18
random_forest,18,10,0.0,18
random_forest,18,11,0.0,18
random_forest,18,12,0.0,19
random_forest,19,1,24.574391463243572,720
random_forest,19,2,33.59252138904408,760
random_forest,19,3,46.592053758609985,760
random_forest,19,4,47.150318507946785,800
random_forest,19,5,46.82968658094412,800
random_forest,19,6,42.08488017072261,760
random_forest,19,7,44.37844677909761,760
random_forest,19,8,45.49366209358898,800
random_forest,19,9,38.006132403051154,720
random_forest,19,10,16.58388663082393,720
random_forest,19,11,23.547227365784824,720
random_forest,19,12,23.24444892257117,760
random_forest,20,1,20.202895344103677,756
random_forest,20,2,32.214104847265915,798
random_forest,20,3,35.067568487358905,798
random_forest,20,4,38.02281079458612,840
random_forest,20,5,36.58532746647469,840
random_forest,20,6,34.67787635019821,798
random_forest,20,7,29.112898449742364,798
random_forest,20,8,24.732335130389014,840
random_forest,20,9,26.38921957744562,756
random_forest,20,10,24.166230565721445,756
random_forest,20,11,27.618004572925248,756
random_forest,20,12,26.398131971597437,798
random_forest,24,1,0.0,18
random_forest,24,2,0.0,19
random_forest,24,3,0.0,19
random_forest,24,4,0.0,20
random_forest,24,5,0.0,20
random_forest,24,6,0.0,19
random_forest,24,7,0.0,19
random_forest,24,8,0.0,20
random_forest,24,9,0.0,18
random_forest,24,10,0.0,18
random_forest,24,11,0.0,18
random_forest,24,12,0.0,19
random_forest,26,1,20.196134243842213,396
random_forest,26,2,31.37338305244959,418
random_forest,26,3,24.363001707199363,418
random_forest,26,4,22.961651526037127,440
random_forest,26,5,28.24402649114257,440
random_forest,26,6,23.66895033174516,418
random_forest,26,7,17.114283409015602,418
random_forest,26,8,20.293613559068785,440
random_forest,26,9,23.89859529114994,396
random_forest,26,10,15.437155981830893,396
random_forest,26,11,15.806240540261914,396
random_forest,26,12,19.008572201474735,418
random_forest,28,1,0.0,18
random_forest,28,2,0.0,19
random_forest,28,3,0.0,19
random_forest,28,4,0.0,20
random_forest,28,5,0.0,20
random_forest,28,6,0.0,19
random_forest,28,7,0.0,19
random_forest,28,8,0.0,20
random_forest,28,9,0.0,18
random_forest,28,10,0.0,18
random_forest,28,11,0.0,18
random_forest,28,12,0.0,19
random_forest,29,1,23.726426516304496,756
random_forest,29,2,30.31515299985932,798
