mascon,n_months,n_wells,RMSE,MAE,MBE,R2,NSE
3,65,42,139.12045009378912,113.09950166867281,-32.58540429946688,0.5790332178535293,-4.740668534817367
8,65,55,79.98338462911322,66.37297676199981,-38.77702476483707,0.6767207059926486,0.48215810895995814
10,63,24,112.45346216995708,84.78676789387183,-26.79789484640664,0.511869310670101,0.47463910114280383
11,66,142,93.16763236730536,71.34176739951307,48.88502169444262,0.5611844950499314,-0.14491974516780393
13,65,103,88.06969742669975,67.83153029791153,34.81611730849995,0.517291844441544,-0.6340598535266815
19,63,26,215.7379199154015,175.61066894391732,-134.18986465422986,0.25009523683021184,-1.8623794485369602
20,65,119,110.74117420229773,92.1033609972157,2.6387984813465497,0.32072129695360024,0.31838542508880363
29,66,91,85.27935354589523,66.66417568318403,13.090142114507849,0.45623666268774454,0.4425924439534419
33,66,27,397.2246291907973,323.451632405841,-250.4944751718115,0.013249530421116085,-22.66400935665064
34,65,16,709.1250133305181,550.6631796568236,-442.5756459325521,0.15588096780086547,-11.265793405636614
