Model,Month,Month_Name,Actual_TWSA_mm,Actual_Std_mm,Predicted_TWSA_mm,Predicted_Std_mm,Residual_mm,Residual_Std_mm,Sample_Count
BiLSTM,1,Jan,-15.635841860469602,8.572568426879771,-11.662177325250733,7.441877806147239,-3.9736645512805553,5.927059772792021,682.0
BiLSTM,2,Feb,-18.14151928351521,8.644193400445452,-14.323405122935691,6.2017384935499775,-3.8181141634126687,5.463626366715888,622.0
BiLSTM,3,Mar,-19.89533794218851,8.689874829062685,-17.233577922580647,5.296254451451159,-2.6617600261886154,6.331043304996432,682.0
BiLSTM,4,Apr,-19.704531891921533,9.003632462462516,-18.08572889985359,6.698237635620609,-1.6188029980550558,5.547888592229524,683.0
BiLSTM,5,May,-16.871714668690252,9.79649480668837,-14.940446025586956,7.308231836336159,-1.9312686256493419,7.270017190961284,713.0
BiLSTM,6,Jun,-8.78410343254844,11.31615485182099,-8.014468241530434,7.609643777013999,-0.7696351820451345,9.901911160377098,690.0
BiLSTM,7,Jul,0.9712807148894651,11.91559766295667,0.6553621273497896,5.402763265078805,0.3159185826414444,9.458243963196042,713.0
BiLSTM,8,Aug,5.929308969569992,12.11685115478243,6.327449756274334,5.1033618133059715,-0.3981407824108612,10.009166274003158,713.0
BiLSTM,9,Sep,4.970348780438267,11.502220948108484,6.517554883977306,5.624613803048548,-1.5472061023403003,9.716238265007618,661.0
BiLSTM,10,Oct,-1.2235807439695159,10.174046598567116,-0.1105630118797654,6.858863413505439,-1.113017726958095,8.11251909188079,682.0
BiLSTM,11,Nov,-8.304689755411799,9.195795524958092,-6.466343986378031,5.5105768222499965,-1.8383457731907629,6.275286480178028,660.0
BiLSTM,12,Dec,-12.881172219932182,8.702370762637676,-9.590156324633432,5.98986066635186,-3.2910159038741535,5.234154457523193,682.0
LSTM,1,Jan,-15.635841860469602,8.572568426879771,-13.127446135478005,9.289033446072231,-2.5083957449555947,6.542112245025598,682.0
LSTM,2,Feb,-18.14151928351521,8.644193400445452,-17.524709666848874,8.047866209203134,-0.6168095873913703,5.570787458771244,622.0
LSTM,3,Mar,-19.89533794218851,8.689874829062685,-20.169024048973608,6.074115459198733,0.27368610262863236,6.037004923333148,682.0
LSTM,4,Apr,-19.704531891921533,9.003632462462516,-20.051720225183015,7.158472592841961,0.3471883289849616,5.1194023734656176,683.0
LSTM,5,May,-16.871714668690252,9.79649480668837,-17.78293311924264,7.569689469897774,0.9112184420441026,7.0464284337298855,713.0
