Model,Season,Actual_TWSA_mm,Predicted_TWSA_mm,Residual_mm,Sample_Count
BiLSTM,Pre-Monsoon (Apr-Jun),-15.124045642098265,-13.679325954697747,-1.4447196804270024,2086
BiLSTM,Monsoon (Jul-Sep),3.931730229463004,4.449855606771922,-0.5181253771358562,2087
BiLSTM,Post-Monsoon (Oct-Nov),-4.706093372547688,-3.2363569337641582,-1.4697364382200628,1342
BiLSTM,Winter (Dec-Mar),-16.604666069622578,-13.177117570797227,-3.4275485074658274,2668
LSTM,Pre-Monsoon (Apr-Jun),-15.124045642098265,-15.981254928440555,0.8572092812764456,2086
LSTM,Monsoon (Jul-Sep),3.931730229463004,6.514935566326928,-2.5832053409144238,2087
LSTM,Post-Monsoon (Oct-Nov),-4.706093372547688,-2.936910777836066,-1.7691825976717561,1342
LSTM,Winter (Dec-Mar),-16.604666069622578,-15.30558935104048,-1.2990767162905814,2668
LightGBM,Pre-Monsoon (Apr-Jun),-15.124045642098265,-13.685634644809504,-1.438410997288761,2086
LightGBM,Monsoon (Jul-Sep),3.931730229463004,4.995694768657488,-1.063964539194485,2087
LightGBM,Post-Monsoon (Oct-Nov),-4.706093372547688,-3.6205432097860344,-1.085550162761654,1342
LightGBM,Winter (Dec-Mar),-16.604666069622578,-15.762519959498942,-0.8421461101236363,2668
BiLSTM+Attention,Pre-Monsoon (Apr-Jun),-15.124045642098265,-13.347825193129912,-1.7762204513833235,2086
BiLSTM+Attention,Monsoon (Jul-Sep),3.931730229463004,5.169857371008769,-1.2381271440343256,2087
BiLSTM+Attention,Post-Monsoon (Oct-Nov),-4.706093372547688,-2.9488577797064086,-1.757235598049089,1342
BiLSTM+Attention,Winter (Dec-Mar),-16.604666069622578,-15.722735583830584,-0.8819304861475654,2668
RandomForest,Pre-Monsoon (Apr-Jun),-15.124045642098265,-13.696720140208251,-1.4273255018900117,2086
RandomForest,Monsoon (Jul-Sep),3.931730229463004,4.70249828032164,-0.7707680508586366,2087
RandomForest,Post-Monsoon (Oct-Nov),-4.706093372547688,-3.7505883986756583,-0.9555049738720292,1342
RandomForest,Winter (Dec-Mar),-16.604666069622578,-15.697898275351669,-0.9067677942709105,2668
XGBoost,Pre-Monsoon (Apr-Jun),-15.124045642098265,-13.660666081165868,-1.4633795594063386,2086
XGBoost,Monsoon (Jul-Sep),3.931730229463004,4.9231039728401536,-0.9913737376850331,2087
XGBoost,Post-Monsoon (Oct-Nov),-4.706093372547688,-3.5327722959447834,-1.1733210762549573,1342
XGBoost,Winter (Dec-Mar),-16.604666069622578,-15.797088406026088,-0.8075776717454511,2668
