axis,model,label,rmse,seconds,epochs_min,epochs_max,n_features,predictors,hidden_layer_sizes,n_weights,alpha,learning_rate,reference_config
capacity,mlp,32,79.05327118857966,59.1,373.0,467.0,78,"sms,et,ppt,runoff_surface,runoff_anom",32,2528.0,,,
capacity,mlp,64,79.13381515958477,125.2,469.0,831.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,5056.0,,,
capacity,mlp,128,79.0352680401026,204.1,465.0,1000.0,78,"sms,et,ppt,runoff_surface,runoff_anom",128,10112.0,,,
capacity,mlp,256,79.9546837179587,490.3,884.0,1000.0,78,"sms,et,ppt,runoff_surface,runoff_anom",256,20224.0,,,
capacity,mlp,128-64,86.05142964485879,285.9,508.0,658.0,78,"sms,et,ppt,runoff_surface,runoff_anom",128-64,18240.0,,,
capacity,mlp,256-128,88.69371589627528,529.7,490.0,563.0,78,"sms,et,ppt,runoff_surface,runoff_anom",256-128,52864.0,,,
regularisation,mlp,"alpha=1e-05, lr=3e-05",81.4488873289484,107.2,485.0,519.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,1e-05,3e-05,
regularisation,mlp,"alpha=1e-05, lr=0.0001",79.58875491916265,78.8,344.0,377.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,1e-05,0.0001,
regularisation,mlp,"alpha=1e-05, lr=0.0003",79.14671218539601,132.1,414.0,831.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,1e-05,0.0003,
regularisation,mlp,"alpha=1e-05, lr=0.001",81.3175973054753,208.4,817.0,1069.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,1e-05,0.001,
regularisation,mlp,"alpha=1e-05, lr=0.003",82.11775922464865,88.5,385.0,426.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,1e-05,0.003,
regularisation,mlp,"alpha=0.001, lr=3e-05",81.44888315109274,95.4,485.0,519.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.001,3e-05,
regularisation,mlp,"alpha=0.001, lr=0.0001",79.58862935659155,68.6,344.0,377.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.001,0.0001,
regularisation,mlp,"alpha=0.001, lr=0.0003",79.13381515958477,124.5,469.0,831.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.001,0.0003,
regularisation,mlp,"alpha=0.001, lr=0.001",81.85399519307292,175.3,809.0,940.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.001,0.001,
regularisation,mlp,"alpha=0.001, lr=0.003",82.59013044028839,87.9,293.0,570.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.001,0.003,
regularisation,mlp,"alpha=0.1, lr=3e-05",81.44888067391142,95.6,485.0,519.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.1,3e-05,
regularisation,mlp,"alpha=0.1, lr=0.0001",79.5887944437726,71.9,344.0,377.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.1,0.0001,
regularisation,mlp,"alpha=0.1, lr=0.0003",79.1039664253004,125.6,469.0,831.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.1,0.0003,
regularisation,mlp,"alpha=0.1, lr=0.001",80.06058502614759,165.8,671.0,923.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.1,0.001,
regularisation,mlp,"alpha=0.1, lr=0.003",83.50230383107112,105.1,385.0,570.0,78,"sms,et,ppt,runoff_surface,runoff_anom",64,,0.1,0.003,
reference,xgboost,XGBoost,76.84662732737854,19.4,,,78,"sms,et,ppt,runoff_surface,runoff_anom",,,,,adopted
reference,random_forest,Random Forest,77.48268561223058,76.3,,,78,"sms,et,ppt,runoff_surface,runoff_anom",,,,,adopted
